Site,Parameter,Year,Month,Day,Hour,Value
Chengdu,PM2.5,2018,6,14,0,30
Chengdu,PM2.5,2018,6,14,1,17
Chengdu,PM2.5,2018,6,14,2,21
Chengdu,PM2.5,2018,6,14,3,24
Chengdu,PM2.5,2018,6,14,4,27
Chengdu,PM2.5,2018,6,14,5,26
Chengdu,PM2.5,2018,6,14,6,18
Chengdu,PM2.5,2018,6,14,7,29
Chengdu,PM2.5,2018,6,14,8,20
Chengdu,PM2.5,2018,6,14,9,20
Chengdu,PM2.5,2018,6,14,10,16
Chengdu,PM2.5,2018,6,14,11,15
Chengdu,PM2.5,2018,6,14,12,23
Chengdu,PM2.5,2018,6,14,13,16
Chengdu,PM2.5,2018,6,14,14,20
Chengdu,PM2.5,2018,6,14,15,14
Chengdu,PM2.5,2018,6,14,16,19
Chengdu,PM2.5,2018,6,14,17,22
Chengdu,PM2.5,2018,6,14,18,18
Chengdu,PM2.5,2018,6,14,19,15
Chengdu,PM2.5,2018,6,14,20,15
Chengdu,PM2.5,2018,6,14,21,21
Chengdu,PM2.5,2018,6,14,22,20
Chengdu,PM2.5,2018,6,14,23,13
Chengdu,PM2.5,2018,6,15,0,18
Chengdu,PM2.5,2018,6,15,1,25
Chengdu,PM2.5,2018,6,15,2,30
Chengdu,PM2.5,2018,6,15,3,29
Chengdu,PM2.5,2018,6,15,4,29
Chengdu,PM2.5,2018,6,15,5,35
Chengdu,PM2.6,2018,6,15,6,38
